temp_h,temp_p,humidity,pressure,pitch,roll,yaw,mag_x,mag_y,mag_z,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,timestamp
18.8,15.5,34.1,972.2,34.01,13.71,2.49,5.0,2.05,-3.01,0.02,0.96,0.16,0.02,-0.01,-0.09,16:21:10
19.4,16.1,35.3,972.2,32.05,9.67,354.69,13.73,8.38,-7.82,0.02,0.98,0.16,0.0,-0.01,-0.07,16:21:15
19.6,16.2,34.9,972.2,32.97,9.65,354.66,13.83,7.8,-7.89,0.02,0.98,0.16,0.0,-0.01,-0.07,16:21:20
19.5,16.2,34.1,972.2,33.47,9.61,354.5,13.97,8.16,-8.39,0.02,0.99,0.16,0.0,-0.01,-0.07,16:21:25
17.8,14.6,33.7,972.2,35.13,9.62,354.38,13.36,8.87,-8.25,0.02,0.99,0.16,0.0,-0.01,-0.07,16:21:30
18.5,15.2,34.6,972.2,34.99,9.58,354.37,13.45,7.66,-9.04,0.02,0.98,0.16,0.0,-0.01,-0.08,16:21:35
19.7,16.3,33.8,972.2,35.01,9.61,354.16,13.21,8.73,-8.68,0.02,0.98,0.16,0.0,-0.0,-0.08,16:21:40
19.1,15.7,34.1,972.2,35.7,9.56,354.34,13.27,8.9,-8.64,0.02,0.98,0.16,0.0,-0.0,-0.08,16:21:45
19.9,16.4,34.2,972.2,35.58,9.58,354.45,13.0,7.76,-8.88,0.02,0.99,0.16,0.0,-0.0,-0.0,16:21:50
19.6,16.4,33.9,972.1,36.16,9.56,354.3,13.33,8.4,-8.3,0.02,0.99,0.16,0.0,-0.01,-0.07,16:21:55
20.0,16.5,33.8,972.2,35.45,9.56,354.37,13.54,8.03,-8.16,0.02,0.98,0.16,0.0,-0.0,-0.08,16:22:00
19.9,16.5,33.9,972.2,35.9,9.55,354.42,13.44,8.12,-8.11,0.02,0.99,0.16,-0.0,-0.0,-0.08,16:22:05
19.5,16.5,33.6,972.2,35.65,9.52,354.21,12.91,7.49,-8.46,0.02,0.98,0.16,0.0,-0.0,-0.08,16:22:10
19.8,16.5,34.6,972.1,35.25,9.57,354.22,13.56,7.6,-8.24,0.02,0.98,0.16,0.0,-0.0,-0.08,16:22:15
19.5,16.0,34.4,972.1,35.88,9.51,354.34,13.45,7.41,-8.53,0.02,0.98,0.17,-0.0,-0.0,-0.08,16:22:20
19.8,16.6,33.8,972.1,35.94,9.5,354.31,12.98,7.73,-8.38,0.02,0.98,0.16,-0.0,-0.0,-0.08,16:22:25
19.8,16.6,34.6,972.1,36.77,9.5,354.28,12.88,8.08,-8.68,0.02,0.99,0.16,-0.0,-0.0,-0.08,16:22:30
18.8,15.5,33.3,972.1,36.65,9.49,354.13,13.17,7.58,-8.79,0.02,0.99,0.16,-0.0,-0.0,-0.08,16:22:35
18.9,15.5,33.7,972.1,35.88,9.51,354.36,13.04,8.2,-8.16,0.02,0.99,0.16,-0.0,-0.0,-0.08,16:22:40
19.4,16.0,34.0,972.1,34.83,9.52,354.27,13.53,7.88,-8.29,0.02,0.98,0.16,0.0,-0.0,0.0,16:22:45
